오름명 별칭	위치	비고(m)	표고(m)	경도	위도	설명	주차	화장실	난이도	혼잡도	관리기관	관리자번호	운영시간	쉬는날	이용요금	오름영문명	데이터기준일자
밧돌오름	"밧돌, 밖돌오름, 외석악(外石岳), 외돌악"	제주특별자치도 제주시 구좌읍 송당리 산66-1	103	352.8	126.7579	33.4488	"북동쪽으로 열린 말굽형 화구를 가진 오름으로, 안돌오름과 마주한 쌍둥이 오름이다. 정상에는 큰 바위와 돌무더기가 있으며, 초지와 숲이 어우러져 조망이 뛰어나다."	TRUE	FALSE	하	낮음	제주특별자치도 제주시	064-740-6000	상시개방	없음	0	botdol	2021-11-30
천아오름	"초낭오름, 처남오름, 처나름, 천아악(天娥岳), 진목악(眞木岳)"	제주특별자치도 제주시 한림읍 상대리 1689	49	133.6	126.2976	33.4028	"3개의 봉우리를 가진 말굽형 화산체로 서남쪽으로 열린 화구를 이루고 있다. 참나무(초낭)가 많아 초낭오름이라 불렸으며, 천주교 한림공동묘지 인근에 위치한다."	TRUE	FALSE	하	낮음	제주특별자치도 제주시	064-740-6000	상시개방	없음	0	cheona	2021-11-30
칡오름	갈악(葛岳)	제주특별자치도 서귀포시 상효동 산129	96	271	126.5869	33.3009	"상효동에 위치한 원형 화구의 오름으로, 예전에는 칡이 많이 자생하여 '칡오름'이라 불렸다. 현재는 소나무·삼나무 숲과 일부 과수원이 조성되어 있으며 정상에는 통신시설이 있다."	TRUE	FALSE	중	낮음	제주특별자치도 서귀포시	064-760-4665	상시개방	없음	0	chik	2021-11-30
대병악	"골른오름, 여진머리, 병악(屛岳)"	제주특별자치도 서귀포시 안덕면 상창리 산2-1	132	491.9	126.367577	33.306248	"북쪽으로 열린 말굽형 화구를 가진 분석구 오름으로, 소병악과 나란히 위치한다. 안덕곶자왈의 발원 화산체로 알려져 있으며 초지와 곶자왈 경관이 뛰어난 오름이다."	TRUE	FALSE	중	낮음	제주특별자치도	064-740-6000	상시개방	없음	0	daebyeongak	2021-11-30
대수산봉	"큰물메, 대수산(大水山)"	제주특별자치도 서귀포시 성산읍 고성리 산34	117	137.3	126.873638	33.448168	"성산읍 고성리에 위치한 말굽형 화산체로, 성산일출봉·우도·섭지코지와 제주 동부 해안을 한눈에 조망할 수 있는 대표적인 전망 오름이다. 일명 '큰물메'라고도 불린다."	TRUE	TRUE	하	보통	제주특별자치도 서귀포시	064-760-4282	상시개방	없음	0	daesusanbong	2021-11-30
대왕산	"왕뫼, 왕메, 왕미, 왱미오름, 와양뫼, 대왕산(大王山)"	제주특별자치도 서귀포시 성산읍 수산리 1431	83	157.6	126.8426	33.4478	"성산읍 수산리 북서쪽에 위치한 북서향 말굽형 화구의 오름이다. 능선이 '왕(王)'자 모양을 닮아 왕뫼라 불리며, 삼나무와 해송 숲길을 따라 정상에서 성산 일대와 제주 동부를 조망할 수 있다."	TRUE	FALSE	하	보통	제주특별자치도 서귀포시	064-760-4282	상시개방	없음	0	daewangsan	2021-11-30
다랑쉬오름	"월랑봉(月郞峰), 달랑쉬오름"	제주특별자치도 제주시 구좌읍 세화리 산6	227	382.4	126.821274	33.477721	"제주를 대표하는 분석구(스코리아 콘)로 '오름의 여왕'이라 불린다. 깊이 약 115m의 원형 분화구를 가지고 있으며, 정상에서는 성산일출봉·우도·한라산과 주변 오름군을 조망할 수 있다. 다랑쉬굴과 제주4·3의 역사적 의미를 함께 지닌 오름이다."	TRUE	TRUE	상	높음	제주특별자치도	064-740-6000	상시개방	없음	0	dalangswi	2021-11-30
달산봉	"탈산봉, 망오름, 달산(達山峰)"	제주특별자치도 서귀포시 표선면 하천리 산70	87	136.5	126.832405	33.345638	"동쪽으로 열린 말굽형 화구를 가진 화산체이다. 세 개의 봉우리가 능선으로 길게 이어져 있으며, 달 모양을 닮아 '달산봉'이라 불린다. 정상에는 조선시대 달산봉수대가 남아 있고, 제석오름과 이웃해 있다."	TRUE	FALSE	하	낮음	서귀포시	064-760-3031	상시개방	없음	0	dalsanbong	2021-11-30
당오름	당악(堂岳)	제주특별자치도 제주시 구좌읍 송당리 산199-1	69	274.1	126.7826	33.4695	"북서쪽으로 침식된 말굽형 화구를 가진 오름으로, 송당 본향당(백주또 신화)의 배경이 되는 신성한 오름이다. 울창한 삼나무·해송 숲과 잘 정비된 둘레길이 조성되어 있으며 정상과 둘레길 탐방이 모두 가능하다."	TRUE	FALSE	하	보통	제주특별자치도 제주시	064-740-6000	상시개방	없음	0	dang	2021-11-30
당산봉	"당오름, 차귀오름, 계관산, 당산악"	제주특별자치도 제주시 한경면 용수리 산18	118	148	126.17365	33.308254	"제주 서부 해안을 대표하는 수성화산체(응회구)로, 굼부리 안에 또 다른 분화구(알오름)가 있는 희귀한 이중 화산체이다. 차귀도, 수월봉, 신창풍차해안도로를 조망할 수 있으며 제주올레 12코스에 포함된다."	TRUE	TRUE	하	높음	제주특별자치도 세계유산본부	064-710-6072	상시개방	없음	0	dangsanbong	2021-11-30
단산	"바굼지오름, 바구미오름, 簞山"	제주특별자치도 서귀포시 대정읍 인성리 21-6	113	158	126.288719	33.243938	"비고 113m의 원추형 화구를 가진 화산체이다. 박쥐가 날개를 펼친 듯한 독특한 암봉 형태를 지니며, 정상에서는 산방산·송악산·마라도와 대정평야를 조망할 수 있다. 드라마 및 영화 촬영지로도 유명하다."	TRUE	FALSE	중	높음	제주특별자치도 서귀포시	064-760-3031	상시개방	없음	0	dansan	2021-11-30
도청오름	"도청악, 알오름"	제주특별자치도 서귀포시 표선면 표선리 2450	70	100.5	126.8436	33.3568	"매오름 외륜 남동사면에 형성된 분석구로, 수성분화 후 육상에서 다시 분화한 제주에서도 드문 복합화산체이다. 정상에는 해양경찰 레이더 기지가 있으며 매오름과 함께 탐방하는 경우가 많다."	TRUE	FALSE	하	보통	제주특별자치도	064-740-6000	상시개방	없음	0	docheong	2021-11-30
독자봉	"독산(獨山), 망오름, 사자봉(獅子峰), 사지봉"	제주특별자치도 서귀포시 성산읍 신산리 1785	79	159.3	126.854177	33.387711	"남동쪽으로 열린 말굽형 화구를 가진 오름으로, 정상에는 조선시대 봉수대 터가 남아 있다. 홀로 떨어져 있는 지형에서 이름이 유래했으며, 미천굴과 통오름이 인접해 역사와 자연을 함께 즐길 수 있는 오름이다."	TRUE	TRUE	하	보통	제주특별자치도	064-740-6000	상시개방	없음	0	dokjabong	2021-11-30
돔배오름	"돔베오름, 조악(俎岳), 정악(丁岳), 궤악(机岳)"	제주특별자치도 제주시 조천읍 교래리 산64	36	466	126.668571	33.429062	"원형 화구를 가진 분석구로, 제주어 '돔배(도마)'를 닮은 평평한 형태에서 이름이 유래하였다. 교래사거리 인근에 위치하며 정상까지 약 10~15분이면 오를 수 있는 완만한 오름이다."	TRUE	FALSE	하	낮음	제주특별자치도 제주시	064-740-6000	상시개방	없음	0	dombae	2021-11-30
돛오름	"돝오름, 돗오름, 비저오름, 저악(猪岳)"	제주특별자치도 제주시 구좌읍 송당리 산3	129	284.2	126.53119	33.499622	"비자림 서남쪽에 위치한 원형 분화구를 가진 기생화산이다. 제주어로 '돝'은 돼지를 뜻하며 산체가 돼지를 닮아 이름이 붙었다. 완만한 능선과 넓은 분화구, 비자림과 다랑쉬오름을 조망할 수 있는 전망이 특징이다."	TRUE	FALSE	하	보통	제주특별자치도	064-740-6000	상시개방	없음	0	dot	2021-11-30
둔지봉	둔지오름	제주특별자치도 제주시 구좌읍 한동리 산 40	152	282.2	126.795341	33.502773	"비고 152m의 남서향 말굽형 화구를 가진 오름으로 소나무·삼나무·편백나무 군락과 억새가 분포하며 정상에서는 한라산, 구좌·조천 일대 오름, 우도까지 조망할 수 있다."	FALSE	FALSE	보통	낮음	제주특별자치도 세계유산본부	064-783-2619	상시개방	없음	무료	dunjibong	2021-11-30
두산봉	"말미오름, 멀미오름, 각호봉, 斗山峰"	제주특별자치도 서귀포시 성산읍 시흥리 산1-5번지 일대	101	126.5	126.927514	33.474945	수성화산 활동으로 형성된 응회환 내부에 분석구가 만들어진 복합형 오름이다. 제주올레 1코스에 포함되며 정상에서는 성산일출봉·우도·동부 해안 조망이 가능하다.	TRUE	TRUE	보통	보통	제주특별자치도 서귀포시 성산읍사무소	064-760-4231	상시개방	없음	무료		2021-11-30
어대오름	"어두름, 어대악(御帶岳), 어대악(魚垈岳), 어태악(魚岱岳)"	제주특별자치도 제주시 구좌읍 덕천리	55	210.5	126.7608417	33.49564978	비고 55m의 말굽형(북서향) 화구를 가진 화산체. 동쪽에서 볼 때는 둥근 모양이나 남·북쪽에서는 정상에서 길게 흘러내린 능선이 유선형을 이룬다.	null	null	null	null	null	null	null	null	null	eodae	2021-11-30
어도오름	"도노미, 어도봉(於道峰), 도내봉(道內峰), 도내산(道內山), 도래미, 도래메, 되레미"	제주특별자치도 제주시 애월읍 봉성리	73	143	126.307381	33.421005	비고 73m의 말굽형(북향) 화구를 가진 화산체. 경사가 완만하고 산책로가 잘 정비되어 있다.	null	null	null	null	null	null	null	null	null	eodo	2021-11-30
은월봉	"윤드리오름, 은다리오름, 은들오름, 운들오름, 눈달오름, 은월봉(隱月峰)"	제주특별자치도 제주시 구좌읍 종달리	75	179.6	126.854477	33.46896	비고 75m의 말굽형(북동향) 화구를 지닌 화산체. 넓은 들판 가운데 숨어 있는 형상에서 '달이 숨어 있다'는 이름이 유래했다. 남동쪽에 소나무와 삼나무가 조림되어 깊은 숲을 이룬다.	null	null	null	null	null	null	null	null	null	eunwolbong	2021-11-30
갑선이오름	"갑선악(甲蟬岳), 갑선악(甲先岳), 갑선악(甲旋岳)"	제주특별자치도 서귀포시 표선면 가시리	83	188.2	126.781845	33.359951	"비고 83m의 말굽형 화구를 지닌 화산체. 능선을 기준으로 양쪽 사면이 급경사이며, 서쪽이 분화구이자 가시리 마을 방향이다. 오름을 반원형으로 감싸 도는 길이 약 950m의 지렁이형 골짜기가 특징이다."	null	null	null	null	null	null	null	null	null	gabseon-i	2021-11-30
개오름	"개악(蓋岳), 구악(狗岳/拘岳)"	제주특별자치도 서귀포시 표선면 성읍리 2974	130	344.7	126.772675	33.423016	"비고 130m의 원추형 화산체. 산정부 남쪽이 정상이고 북쪽은 봉긋하게 부풀어 그 사이가 우묵하며, 동서 사면에 작은 골이 얕게 패인 기생화산체이다. 남동사면에 해송·삼나무가 조림되었고 그 외에는 풀밭으로 술패랭이, 가시쑥부쟁이, 낭아초, 피뿌리풀 등이 자생한다. 전망권이 좋은 편이다."	null	null	중	null	null	null	null	null	null	gae	2021-11-30
가마오름	가메오름	제주특별자치도 제주시 한경면 청수리	51	140.5	126.246628	33.305321	"비고 51m의 말굽형(북동향) 화구를 지닌 화산체. 주봉인 남쪽 봉우리를 중심으로 북쪽으로 뻗은 등성마루에 언덕 같은 봉우리가 솟아 있고, 완만한 동사면이 북동쪽으로 얕고 넓게 벌어져 있으며 붉은 송이로 이루어져 있다. 해송과 잡목이 숲을 이룬다. 일제강점기 일본군이 주둔했던 곳으로 인공적으로 파인 수직굴이 여러 개 산재해 있다."	null	null	하	null	null	null	null	null	null	gama	2021-11-30
감낭오름	감남오름	제주특별자치도 서귀포시 안덕면 동광리	45	439.8	126.350502	33.324684	비고 45m의 말굽형 화구를 지닌 화산체. 지금은 아니지만 이전에 오름 주변에 감나무가 많아 붙여진 명칭이다. 북동쪽 기슭에서 시작되는 탐방로가 북쪽 기슭을 따라 이어져 원물오름 정상부 코스와 만난다.	null	null	null	null	null	null	null	null	null	gamnang	2021-11-30
가세오름	"가사봉(袈裟峰), 가사봉(可沙峰), 가사악(可沙岳), 갈세, 갈시"	제주특별자치도 서귀포시 표선면 토산리	101	200.5	126.78109	33.331295	"비고 101m의 말굽형(남서향) 화구를 지닌 화산체. 남쪽과 북쪽에 봉우리가 하나씩 있고 두 봉우리를 잇는 능선이 동쪽으로 야트막하게 이어진다. 세화리 쪽에서 보면 사다리꼴, 토산리 쪽에서 보면 두 봉우리가 솟은 모양이다. 오름 형세가 가세(가위)를 닮았다 하여 붙여진 명칭이다."	null	null	null	null	null	null	null	null	null	gase	2021-11-30
가시오름	"가스름, 가시악(加時岳), 가시악(可是岳)"	제주특별자치도 서귀포시 대정읍 동일리	77	106.5	126.243866	33.247208	"비고 77m의 말굽형(남서향) 화구를 지닌 화산체. 동남쪽 사면은 다소 가파르고 서북쪽 사면은 완만하며 정상부까지 농로가 나 있다. 전 사면에 해송이 주종을 이루며 예덕나무·보리수나무 등이 식생하고 일부 사면은 중턱까지 경작지다. 오름에 가시나무(물참나무)가 많이 자생하여 붙여진 명칭이며, 일제가 만든 진지동굴이 곳곳에 남아 있다."	TRUE	null	하	null	null	null	null	null	null	gasi	2021-11-30
거린오름	"요악(了岳), 아악(?岳), 걸인악(傑人岳), 거린악(巨麟岳), 거인악(巨人岳)"	제주특별자치도 서귀포시 안덕면 동광리 산 94	68	298.2	126.332619	33.304913	"비고 68m의 말굽형 화산체. 두 개의 봉우리 사이로 말굽형 굼부리가 길게 이어지며 산체가 둘로 나뉜 형세이고, 이것이 '거린(갈라진)'이라는 명칭의 유래로 추정된다. 북쪽으로 이웃한 북오름과 형제처럼 남북으로 이어져 있으며, 정상부 가운데는 널찍한 잔디밭으로 동쪽 여진머리·족은오름·녹하지오름부터 산방산·송악산·형제섬까지 조망된다. 탐방로 입구는 세 곳으로, ①동광육거리에서 모슬포 방향 730m 지점의 목장 소로로 약 290m 진입한 북오름 탐방로, ②동광육거리에서 1.06km 지점의 거린오름 남쪽 기슭, ③서광2교차로에서 북쪽으로 약 950m 올라간 서쪽 기슭이다. 북오름 진입로로 북오름을 먼저 오른 뒤 거린오름으로 이어가는 코스가 권장된다."	null	null	null	null	null	null	null	null	null	geolin	2021-11-30
걸리오름	null	제주특별자치도 서귀포시 성산읍 신풍리	14	123.8	126.815575	33.376331	"비고가 14m밖에 되지 않아 오름이라 부르기 어려운 규모의 화산체이지만, 산책로 정비는 잘 되어 있다."	null	null	null	null	null	null	null	null	null	geolli	2021-11-30
거문오름	"검은오름, 흑악(黑岳)"	제주특별자치도 제주시 조천읍 선흘리 478	112	456.6	126.720299	33.456268	"비고 112m의 복합형 화구를 가진 화산체로, 북동쪽 산사면이 터진 말굽형 분석구 형태다. 제주에서 유일하게 유네스코 세계자연유산(2007)으로 등재된 오름이며 2005년 천연기념물 제444호로 지정되었다. 여기서 분출한 용암이 약 14km 떨어진 해안까지 흘러 만장굴·벵뒤굴·김녕굴·용천동굴·당처물동굴 등 거문오름용암동굴계를 만들었다. 정상에서 분화구가 한눈에 보이고 분화구 안에 작은 봉우리들이 솟아 있으며, 주변에 화산탄·용암함몰구·수직동굴·풍혈과 식나무·붓순나무 군락, 일본군 갱도진지·병참도로 등이 분포한다. 사전예약제로만 탐방 가능하며 1일 450명(회당 50명, 9회) 한정이고 해설사가 동행한다. 탐방 코스는 정상코스·분화구코스·전체코스로 구분된다."	TRUE	TRUE	null	null	제주특별자치도 세계자연유산본부(제주세계자연유산센터)	064-710-8980~1	09:00~13:00 (30분 간격 출발)	"매주 화요일(자연휴식의 날), 설날, 추석"	어른 2000원 / 청소년·군인·어린이 1000원	geomun	2021-11-30
거슨세미	"거슨새미, 세미오름, 새미오름, 샘오름, 천악(泉岳), 역수산(逆水山), 역천(逆泉), 삼미악(三美岳), 천미악(泉味岳)"	제주특별자치도 제주시 구좌읍 송당리 산 145	125	380	126.759544	33.450577	"비고 125m의 말굽형(서향) 화구를 지닌 화산체. 제주 용천은 보통 바다 쪽으로 흐르는데 이 오름의 샘은 반대로 한라산 쪽으로 거슬러 흘러 '거슨(거스르다)+새미(샘)'라는 이름이 붙었고, 한자로 천악(泉岳)·역수산(逆水山)으로 표기했다. 화구 끝자락에 솟는 샘물이 골짜기를 따라 흘러 목장을 적신다. 식생은 삼나무와 소나무 등 잡목이 우거지고 등성이 일부에 묘가 있으며, 남쪽 등성이는 목장으로 이용돼 방목된 소·말과 마주칠 수 있다. 늦가을에는 은빛 억새 경관을 볼 수 있다. 정상에는 경방초소가 있고 구좌읍 오름밭 일대의 전망이 장관이다. 북쪽에 안돌오름·밧돌오름, 남쪽에 칠오름·민오름이 있다. 번영로 대천교차로에서 송당으로 들어가는 입구 3km 북쪽에 위치한다."	null	null	null	null	null	null	null	null	null	geoseunsemi	2021-11-30
갯거리오름	"갯걸오름, 개꼬리오름, 갓그리오름, 구미악(狗尾岳), 피문악(皮文岳)"	제주특별자치도 제주시 한림읍 명월리	69	253.5	126.292931	33.376663	"비고 69m의 말굽형(서향) 화구를 지닌 화산체. 크고 작은 두 개의 봉우리로 나뉘어 있으며, 두 봉우리 사이로 난 작은 길이 명월리와 금악리의 경계를 이루어 큰 봉우리는 명월리, 작은 봉우리는 금악리에 속한다. 오름의 형세가 개가 꼬리를 끌고 누워 있는 모습과 같다고 하여 붙여진 명칭이며, 두 봉우리가 서로 나뉘어 있다는 데서 갓그리오름·갯거리오름으로 부른다는 설명도 있다."	null	null	null	null	null	null	null	null	null	getgeoli	2021-11-30
극락오름	"극락악(極樂岳), 극락악(極落岳), 극락산(極樂山)"	제주특별자치도 제주시 애월읍 고성리 산3	64	313.5	126.414978	33.436234	"비고 64m의 말굽형(북서향) 화구를 가진 나지막한 화산체. 둘레 1,341m, 면적 131,583㎡, 저경 458m. 분화구 가운데쯤에 극락사라는 절이 있고 오름 북서쪽에서 들어오는 길이 이어진다. 오름 일대는 방목지를 겸하며 화구 쪽 일부는 농경지로 개간되었고, 등성을 따라 가족·문중 묘지가 있다. 정상 부근과 사면에 소나무 군락과 일부 노송이 자라며, 정상부에서 해안 쪽과 한라산 방향을 조망할 수 있다. 남쪽에 신석기 전기 고성리 유물산포지(세선융기문토기 출토), 북쪽에 살손바위가 있고, 정상에서 북서쪽 약 2km 지점에 항파두리성이 보인다. 북쪽 고성리를 초입으로 하면 진입로 직전에 삼별초 용사들이 궁술 연마 과녁으로 썼다는 '살맞은돌'을 만난다."	null	null	하	null	null	null	null	null	null	geuglak	2021-11-30
금오름	"금악오름, 검은오름, 흑악(黑岳), 금물악(今勿岳), 금악(今岳), 금악담(今岳潭)"	제주특별자치도 제주시 한림읍 금악리 산 1-1	178	427.5	126.305847	33.35722	"비고 178m의 원형(화구호) 화구를 지닌 화산체. 산정부에 대형 원형 분화구(깊이 약 52m)와 산정화구호를 갖는 기생화산체로, 남북 두 개의 봉우리가 동서의 낮은 안부로 이어진다. 화구호는 예전에는 수량이 풍부했으나 현재는 비가 오면 물이 고이거나 습지를 이루는 정도다. 해송·삼나무·찔레·보리수 등이 자란다. '검·감·곰·금'은 어원상 신(神)을 뜻하는 '곰'과 상통해 예부터 신성시된 오름으로 해석된다. 정상에 대형 통신시설이 있어 오르는 길이 차량 통행 가능하도록 포장되어 있으며, 입구에서 정상까지 약 15분 소요된다. 정상에서 한라산과 비양도를 조망할 수 있고 분화구 둘레길 산책이 가능하며, 서쪽 오름답게 노을 명소로 알려져 있다. 성이시돌목장에서 차로 약 3분 거리다."	TRUE	TRUE	하	null	null	null	null	null	null	geum	2021-11-30
고근산	"고공산, 호근산, 고근산(孤根山), 고근산(古近山), 고공산(古公山), 고공산(古空山)"	제주특별자치도 서귀포시 서호동 1286-1	171	396	126.514198	33.268082	"비고 171m의 원형 화구를 지닌 화산체. 서귀포 신시가지를 감싸고 있는 기생화산으로 정상에 깊지 않은 원형 분화구가 있다. 둘레 4,324m, 면적 1,204,428㎡. 근처에 산이 없어 외롭게 서 있다는 뜻에서 고근산(孤根山)이라 했다는 설과, 평지 한가운데 우뚝 솟았다 하여 고공산이라 부른다는 설이 있다. 오름 중턱에 삼나무·편백나무·상수리나무가 조림되어 있고 억새 군락을 이루며, 산책로는 자연 흙길이라 하절기에도 더위를 피하기 좋다. 정상에서 마라도에서 지귀도까지 제주 바다와 서귀포 시가지·범섬이 한눈에 들어오고 서귀포 칠십리 야경 명소로도 꼽힌다. 설문대할망이 한라산 정상을 베개 삼고 고근산 굼부리에 궁둥이를 얹은 채 범섬에 다리를 걸치고 물장구를 쳤다는 전설이 전한다. 제주올레 7-1코스 중간 지점이며, 남서쪽 탐방로 입구 외에 고근산로를 따라 450m 더 올라간 곳, 그리고 올레 7-1코스 역방향 진입로 등 여러 코스가 있다."	TRUE	null	null	null	null	null	null	null	null	gogeunsan	2021-11-30
궁대악	궁대오름	제주특별자치도 서귀포시 성산읍 수산리	54	238.8	126.823044	33.435707	"비고 54m의 복합형 화구를 지닌 화산체. 전 사면을 따라 삼나무와 소나무가 숲을 이룬다. 산체가 활처럼 휘어 보이는 형상이다. 금백조로와 서성일로189번길이 만나는 사거리 로터리가 오름 남쪽에 있으며, 서쪽 가까이에 돌미(돌리미)오름, 동쪽 약 1.6km 지점에 낭끼오름이 있다."	null	null	null	null	null	null	null	null	null	gungdaeak	2021-11-30
군산	"군산오름, 굴메오름, 굴메오롬, 코메오름"	제주특별자치도 서귀포시 안덕면 창천리 564	280	334.5	126.370857	33.251938	"비고 280m의 원추형(라바돔) 화산체. 총면적 2,836,857㎡, 둘레 8,111m, 저경 2,795m로 화산쇄설성 퇴적층으로 이루어진 기생화산체 중 제주도 최대 규모다. 고려 1007년(목종 10)에 솟아났다고 전해진다. 창천리 앞 창고천 건너에 동서로 길게 가로누운 형태이며 남사면의 난드르(대평리)를 병풍처럼 에워싼다. 정상에는 용 머리의 쌍봉처럼 솟은 두 개의 뿔바위가 있고, 동남 사면에는 애기업개돌 등 차별침식으로 형성된 기암괴석이 발달했다. 정상부는 쌍선망월형(雙仙望月型) 명당이어서 묘를 쓸 수 없는 금장지(禁葬地)였고 가뭄이 들면 기우제를 지냈다. 남사면 미륵골에는 미륵돌과 농퀘가 있다. 정상까지 포장도로가 있어 차로 오를 수 있으나 외길이고 좁아 주의가 필요하며, 걸어서 오를 경우 약 30분 소요된다. 등산로는 4개소가 있고 감산리 방향(차량)과 상예동 방향(도보 약 20분)이 주로 이용된다. 정상에서 한라산·중문관광단지·대평리·산방산·송악산·마라도·모슬봉까지 조망되며 일출·일몰 명소로 알려져 있다. 탐방로 근처에 운동기구가 설치되어 있고 제주올레 9코스가 지난다."	TRUE	null	하	null	null	null	null	null	null	gunsan	2021-11-30
